Datasets,KMeans,KMeans++
iris,0.7163421126838476,0.7163421126838476
blobs,0.7080937292843257,0.7080937292843257
blobs_with_outlier,0.6511838673372312,0.6511838673372312
engy_time,0.815060637690859,0.815060637690859
two_diamonds,1.0,1.0
